Year,Date,Exact Location,Reported Issue,Severity,Latitude,Longitude,Suggestions and Safety Measures
2024,Month 7,Hopes College Railway Bridge,Poor visibility,Fatal,11.030261,77.027589,"Improved lighting, reflective road markings"
2025,Month 8,Saravanampatti – Sathy Road Junction,Traffic congestion,Non-Fatal,11.125525,77.029949,"Junction redesign, dedicated turning lanes"
2022,Month 9,Thudiyalur road,Pedestrian conflict,Non-Fatal,11.068745,76.942603,"Zebra crossings, pedestrian signals"
2023,Month 10,Kamatchipuram Checkpost,Heavy vehicle movement,Fatal,11.068745,76.942604,"Truck time restrictions, warning boards"
2024,Month 11,Palakkad Road – Kuniamuthur,Road narrowing,Non-Fatal,10.973841,76.959563,"Road widening, lane discipline enforcement"
2025,Month 12,Mettupalayam Road – GN Mills,Night accidents,Non-Fatal,10.972411,76.958455,"High-mast lighting, night patrols"
2022,Month 1,Pollachi Road – Malumichampatti,Drunk driving,Fatal,10.832718,77.018453,"Breathalyzer checks, awareness drives"
2023,Month 2,Ukkadam Flyover,Wrong-way driving,Non-Fatal,10.973981,76.961812,"Median barriers, CCTV monitoring"
2024,Month 3,Trichy Road – Singanallur Junction,Over speeding,Non-Fatal,11.001483,77.033937,"Install speed breakers, speed cameras, rumble strips"
2025,Month 4,Avinashi Road – Lakshmi Mills Junction,Signal violation,Fatal,11.0129,76.986082,"Adaptive traffic signals, strict signal enforcement"
2022,Month 5,Hopes College Railway Bridge,Poor visibility,Non-Fatal,11.029783,77.026994,"Improved lighting, reflective road markings"
2023,Month 6,Saravanampatti – Sathy Road Junction,Traffic congestion,Non-Fatal,11.118922,77.02998,"Junction redesign, dedicated turning lanes"
2024,Month 7,Thudiyalur road,Pedestrian conflict,Fatal,11.087164,76.938693,"Zebra crossings, pedestrian signals"
2025,Month 8,Kamatchipuram Checkpost,Heavy vehicle movement,Non-Fatal,11.087164,76.938694,"Truck time restrictions, warning boards"
2022,Month 9,Palakkad Road – Kuniamuthur,Road narrowing,Non-Fatal,10.971562,76.957424,"Road widening, lane discipline enforcement"
2023,Month 10,Mettupalayam Road – GN Mills,Night accidents,Fatal,11.147804,76.943957,"High-mast lighting, night patrols"
2024,Month 11,Pollachi Road – Malumichampatti,Drunk driving,Non-Fatal,10.853085,77.013919,"Breathalyzer checks, awareness drives"
2025,Month 12,Ukkadam Flyover,Wrong-way driving,Non-Fatal,10.974846,76.961866,"Median barriers, CCTV monitoring"
2022,Month 1,Trichy Road – Singanallur Junction,Over speeding,Fatal,11.002566,77.0385,"Install speed breakers, speed cameras, rumble strips"
2023,Month 2,Avinashi Road – Lakshmi Mills Junction,Signal violation,Non-Fatal,11.01304,76.985997,"Adaptive traffic signals, strict signal enforcement"
2024,Month 3,Hopes College Railway Bridge,Poor visibility,Non-Fatal,11.032914,77.03105,"Improved lighting, reflective road markings"
2025,Month 4,Saravanampatti – Sathy Road Junction,Traffic congestion,Fatal,11.118922,77.02998,"Junction redesign, dedicated turning lanes"
2022,Month 5,Thudiyalur road,Pedestrian conflict,Non-Fatal,11.090082,76.93845,"Zebra crossings, pedestrian signals"
2023,Month 6,Kamatchipuram Checkpost,Heavy vehicle movement,Non-Fatal,11.090082,76.938451,"Truck time restrictions, warning boards"
2024,Month 7,Palakkad Road – Kuniamuthur,Road narrowing,Fatal,10.96888,76.956058,"Road widening, lane discipline enforcement"
2025,Month 8,Mettupalayam Road – GN Mills,Night accidents,Non-Fatal,11.170283,76.951748,"High-mast lighting, night patrols"
2022,Month 9,Pollachi Road – Malumichampatti,Drunk driving,Non-Fatal,10.853085,77.013919,"Breathalyzer checks, awareness drives"
2023,Month 10,Ukkadam Flyover,Wrong-way driving,Fatal,10.974896,76.961971,"Median barriers, CCTV monitoring"
2024,Month 11,Trichy Road – Singanallur Junction,Over speeding,Non-Fatal,11.003016,77.040389,"Install speed breakers, speed cameras, rumble strips"
2025,Month 12,Avinashi Road – Lakshmi Mills Junction,Signal violation,Non-Fatal,11.012912,76.98612,"Adaptive traffic signals, strict signal enforcement"
2022,Month 1,Hopes College Railway Bridge,Poor visibility,Fatal,11.032914,77.03105,"Improved lighting, reflective road markings"
2023,Month 2,Saravanampatti – Sathy Road Junction,Traffic congestion,Non-Fatal,11.110995,77.02717,"Junction redesign, dedicated turning lanes"
2024,Month 3,Thudiyalur road,Pedestrian conflict,Non-Fatal,11.076937,76.941578,"Zebra crossings, pedestrian signals"
2025,Month 4,Kamatchipuram Checkpost,Heavy vehicle movement,Fatal,11.076937,76.941579,"Truck time restrictions, warning boards"
2022,Month 5,Palakkad Road – Kuniamuthur,Road narrowing,Non-Fatal,11.076937,76.94158,"Road widening, lane discipline enforcement"
2023,Month 6,Mettupalayam Road – GN Mills,Night accidents,Non-Fatal,11.18231,76.95891,"High-mast lighting, night patrols"
2024,Month 7,Pollachi Road – Malumichampatti,Drunk driving,Fatal,10.894003,76.999644,"Breathalyzer checks, awareness drives"
2025,Month 8,Ukkadam Flyover,Wrong-way driving,Non-Fatal,10.974896,76.961971,"Median barriers, CCTV monitoring"
2022,Month 9,Trichy Road – Singanallur Junction,Over speeding,Non-Fatal,11.003953,77.045731,"Install speed breakers, speed cameras, rumble strips"
2023,Month 10,Avinashi Road – Lakshmi Mills Junction,Signal violation,Fatal,11.014146,76.987324,"Adaptive traffic signals, strict signal enforcement"
2024,Month 11,Hopes College Railway Bridge,Poor visibility,Non-Fatal,11.027832,77.024007,"Improved lighting, reflective road markings"
2025,Month 12,Saravanampatti – Sathy Road Junction,Traffic congestion,Non-Fatal,11.108107,77.024948,"Junction redesign, dedicated turning lanes"
2022,Month 1,Thudiyalur road,Pedestrian conflict,Fatal,11.07938,76.941433,"Zebra crossings, pedestrian signals"
2023,Month 2,Kamatchipuram Checkpost,Heavy vehicle movement,Non-Fatal,11.07938,76.941434,"Truck time restrictions, warning boards"
2024,Month 3,Palakkad Road – Kuniamuthur,Road narrowing,Non-Fatal,11.07938,76.941435,"Road widening, lane discipline enforcement"
2025,Month 4,Mettupalayam Road – GN Mills,Night accidents,Fatal,11.170045,76.951506,"High-mast lighting, night patrols"
2022,Month 5,Pollachi Road – Malumichampatti,Drunk driving,Non-Fatal,10.878975,77.002859,"Breathalyzer checks, awareness drives"
2023,Month 6,Ukkadam Flyover,Wrong-way driving,Non-Fatal,10.977669,76.960589,"Median barriers, CCTV monitoring"
2024,Month 7,Trichy Road – Singanallur Junction,Over speeding,Fatal,11.002048,77.036591,"Install speed breakers, speed cameras, rumble strips"
2025,Month 8,Avinashi Road – Lakshmi Mills Junction,Signal violation,Non-Fatal,11.011784,76.984123,"Adaptive traffic signals, strict signal enforcement"
2022,Month 9,Hopes College Railway Bridge,Poor visibility,Non-Fatal,11.027832,77.024007,"Improved lighting, reflective road markings"
2023,Month 10,Saravanampatti – Sathy Road Junction,Traffic congestion,Fatal,11.090538,77.008239,"Junction redesign, dedicated turning lanes"
2024,Month 11,Thudiyalur road,Pedestrian conflict,Non-Fatal,11.032616,76.977722,"Zebra crossings, pedestrian signals"
2025,Month 12,Kamatchipuram Checkpost,Heavy vehicle movement,Non-Fatal,11.032616,76.977723,"Truck time restrictions, warning boards"
2022,Month 1,Palakkad Road – Kuniamuthur,Road narrowing,Fatal,10.970012,76.956073,"Road widening, lane discipline enforcement"
2023,Month 2,Mettupalayam Road – GN Mills,Night accidents,Non-Fatal,11.203624,76.965101,"High-mast lighting, night patrols"
2024,Month 3,Pollachi Road – Malumichampatti,Drunk driving,Non-Fatal,10.917363,76.986721,"Breathalyzer checks, awareness drives"
2025,Month 4,Ukkadam Flyover,Wrong-way driving,Fatal,10.979108,76.960774,"Median barriers, CCTV monitoring"
2025,Jan,"Avinashi Road, Coimbatore",Speeding car crashed into another car,Fatal (1 death),11.00068,77.030195,"Install speed cameras, enforce speed limits (The Times of India)"
2025,Oct,"Near GD Naidu Flyover, Coimbatore","Car rammed parked lorry, 3 killed",Fatal,11.010055,76.988616,"Add warning signs, install rumble strips (The New Indian Express)"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
